Name,Age,Department,Salary
Alice,28,Marketing,60981
Charlie,28,Marketing,70000
Alice,29,Sales,61389
Alice,28,Sales,69337
David,32,Marketing,68071
Charlie,28,Marketing,70000
Charlie,28,HR,70000
Charlie,28,HR,50000
David,28,HR,67402
David,28,Sales,70000
Alice,28,Sales,50000
Charlie,28,HR,50000
Alice,28,Sales,70000
Bob,28,Marketing,69087
David,28,Sales,56593
Eva,28,Sales,54706
Eva,30,Sales,61739
Bob,28,Marketing,69940
David,28,Sales,50000
Charlie,28,HR,51716
Bob,31,Sales,60474
Bob,28,Marketing,70000
Bob,28,Marketing,62636
Charlie,28,Marketing,70000
David,32,Marketing,68094
Charlie,28,HR,70000
Alice,28,Sales,55682
Alice,28,Marketing,65816
Charlie,28,Sales,50000
David,28,HR,70000
Bob,28,Sales,50000
Charlie,28,Marketing,61513
Bob,40,Marketing,66345
Eva,28,HR,51808
Bob,35,Sales,68835
Charlie,28,Marketing,61605
Charlie,28,Sales,70000
Charlie,28,Sales,61216
Bob,45,Sales,66912
Alice,28,Marketing,50000
David,45,Sales,70000
Charlie,28,Marketing,54299
Charlie,28,Marketing,70000
Bob,44,Marketing,70000
David,30,Marketing,50000
Bob,28,Sales,70000
Alice,43,HR,65163
Alice,28,HR,61212
Alice,28,Marketing,68105
David,31,Sales,62745
Charlie,28,Sales,69837
Eva,28,Marketing,50881
Eva,28,Sales,50000
Eva,28,Sales,50000
Eva,28,Marketing,66891
Eva,40,HR,50909
Charlie,45,HR,59310
Bob,28,Marketing,51934
Charlie,42,Marketing,59612
Eva,28,Sales,62410
Alice,28,Sales,50000
Charlie,33,Marketing,70000
Charlie,30,Marketing,70000
David,34,Marketing,54509
Eva,28,Sales,68570
David,39,Sales,61748
Bob,28,Sales,62210
Eva,28,Sales,70000
David,28,Marketing,61654
Eva,28,Sales,60542
Charlie,28,Sales,65761
Eva,34,Sales,68507
Eva,28,Marketing,58424
Charlie,28,HR,56450
Eva,45,HR,70000
Bob,28,Marketing,52229
David,33,Sales,50000
Alice,28,Marketing,50000
Bob,37,Sales,70000
Charlie,45,Sales,50000
David,28,Sales,70000
David,28,HR,61457
Eva,40,Sales,68428
Bob,28,Marketing,59354
David,28,Sales,70000
David,38,Sales,69762
Eva,28,HR,50000
Bob,28,HR,68457
David,28,Marketing,70000
David,28,Sales,70000
Eva,28,Sales,70000
Charlie,33,Sales,69599
Charlie,28,Sales,62628
Charlie,44,Marketing,50895
Charlie,28,Sales,63833
Charlie,28,Sales,52954
David,45,HR,70000
David,28,Sales,70000
Eva,37,Sales,55453
Eva,28,Marketing,65565
